id,name,county,state,country,latitude,longitude,watershed,stream,form,wwd_url
OR-3680,Slick Rock Creek Falls,Wallowa County,Oregon,United States,45.27417,-117.31354,,Slick Rock Creek,Steep Tiered Cascades,https://www.worldwaterfalldatabase.com/waterfall/Slick-Rock-Creek-Falls-3680
OR-3681,Slick Rock Falls,Wallowa County,Oregon,United States,45.27466,-117.31072,,Hurricane Creek,Steep Tiered Cascades,https://www.worldwaterfalldatabase.com/waterfall/Slick-Rock-Falls-3681
OR-3682,South Fork Klatskanie Falls,Clatsop County,Oregon,United States,46.04184,-123.66374,,South Fork Klatskanie River,,https://www.worldwaterfalldatabase.com/waterfall/South-Fork-Klatskanie-Falls-3682
OR-3684,Spruce Run Cascades,Clatsop County,Oregon,United States,45.81584,-123.57508,,Spruce Run Creek,,https://www.worldwaterfalldatabase.com/waterfall/Spruce-Run-Cascades-3684
OR-3685,Staley Creek Falls,Lane County,Oregon,United States,43.44727,-122.36494,,Staley Creek,,https://www.worldwaterfalldatabase.com/waterfall/Staley-Creek-Falls-3685
OR-3686,Herman Creek Falls,Lane County,Oregon,United States,43.76946,-122.66217,,Herman Creek,,https://www.worldwaterfalldatabase.com/waterfall/Herman-Creek-Falls-3686
OR-3687,Hortill Creek Falls,Clatsop County,Oregon,United States,46.05675,-123.8401,,Hortill Creek,,https://www.worldwaterfalldatabase.com/waterfall/Hortill-Creek-Falls-3687
OR-3688,Hunter Creek Falls,Linn County,Oregon,United States,44.59849,-122.67498,,Hunter Creek,,https://www.worldwaterfalldatabase.com/waterfall/Hunter-Creek-Falls-3688
OR-3689,Hurricane Creek Falls,Wallowa County,Oregon,United States,45.32782,-117.30086,,Hurricane Creek,,https://www.worldwaterfalldatabase.com/waterfall/Hurricane-Creek-Falls-3689
OR-3690,Idiot Creek Falls,Tillamook County,Oregon,United States,45.64194,-123.43568,,Idiot Creek,,https://www.worldwaterfalldatabase.com/waterfall/Idiot-Creek-Falls-3690
OR-3691,Billy Chinook Falls,Jefferson County,Oregon,United States,44.54424,-121.25893,Deschutes River,Unnamed,Plunge,https://www.worldwaterfalldatabase.com/waterfall/Billy-Chinook-Falls-3691
OR-3692,Serpantine Falls,Lane County,Oregon,United States,43.84209,-122.05187,Willamette River,,,https://www.worldwaterfalldatabase.com/waterfall/Serpantine-Falls-3692
OR-3693,Loholo Falls,Lane County,Oregon,United States,43.83197,-122.05815,Willamette River,,,https://www.worldwaterfalldatabase.com/waterfall/Loholo-Falls-3693
OR-3694,Grindy Creek Falls,Clatsop County,Oregon,United States,45.92024,-123.73776,,Grindy Creek,,https://www.worldwaterfalldatabase.com/waterfall/Grindy-Creek-Falls-3694
OR-3695,Herman Creek Falls,Hood River County,Oregon,United States,45.66547,-121.81902,,Herman Creek,,https://www.worldwaterfalldatabase.com/waterfall/Herman-Creek-Falls-3695
OR-3696,Lava Island Falls,Deschutes County,Oregon,United States,43.98686,-121.39707,Deschutes River,Deschutes River,Segmented Rapids,https://www.worldwaterfalldatabase.com/waterfall/Lava-Island-Falls-3696
OR-3697,Mosaic Falls,Deschutes County,Oregon,United States,44.15133,-121.68643,Deschutes River,South Fork Whychus Creek,Steep Tiered Cascades,https://www.worldwaterfalldatabase.com/waterfall/Mosaic-Falls-3697
OR-3698,Benham Falls,Deschutes County,Oregon,United States,43.93823,-121.41201,Deschutes River,Deschutes River,Gradual Cascade,https://www.worldwaterfalldatabase.com/waterfall/Benham-Falls-3698
OR-3700,Dillon Falls,Deschutes County,Oregon,United States,43.95744,-121.41282,Deschutes River,Deschutes River,Gradual Cascade,https://www.worldwaterfalldatabase.com/waterfall/Dillon-Falls-3700
OR-3701,Shelter Falls,Deschutes County,Oregon,United States,44.15142,-121.68405,Deschutes River,South Fork Whychus Creek,Veiling Plunge,https://www.worldwaterfalldatabase.com/waterfall/Shelter-Falls-3701
